meal_id,meal_name,true_dish_type,meal_category,notes_list,notes_list_90,meal_super_category
2195585,Lachssteak mit Sauce Choron,Hauptgericht,Bistro Gourmet Fisch,Fisch;Eier;Milch,Fisch;Eier;Milch,unmatched
4140071,Rahmspinat,Beilage,Pasta Buffetpro 100g,Vegetarisch;mit Farbstoff;Weizen;Milch und Milchprodukte (inkl. Laktose),mit Farbstoff;Vegetarisch;Milch und Milchprodukte (inkl. Laktose);Weizen,main_dish
1095677,Tomatenpaprikasalat,Salat,Beilage,,,side_dish
887401,Gebackenes Seelachsfilet,Hauptgericht,Essen,,,main_dish
4355669,"Vegane Nuggets, Chilisauce, Mandel-Brokkoli, Tomatenreis",Hauptgericht,Menü,ohne Fleisch;vegan;Natürlich frisch;mit Knoblauch;Farbstoff,vegan;ohne Fleisch;Natürlich frisch;mit Knoblauch;Farbstoff,main_dish
15676625,"Schupfnudel-Gemüsepfanne mit Fleischbällchen(S/R), Kräutersauce, Salat der Saison",Hauptgericht,Tagesmenü,Antioxidationsmittel;Eier;Milch/Laktose;Schwefeldioxid und Sulfite;Weizen,Antioxidationsmittel;Schwefeldioxid und Sulfite;Eier;Weizen;Milch/Laktose,main_dish
1312053,"Hausgemachter Kräuterquark (g) Gurkensalat, Pellkartoffeln, Tagesdessert Mars",Hauptgericht,Vegetarisch,,,main_dish
2734350,Gurkensalat,Salat,Beilagen,,,side_dish
15985292,Mais oder Mischsalat,Salat,Nebenbeilage,,,side_dish
2194037,Türkische Pizza mit Rinderhack und Mix Salat,Hauptgericht,Cafeteria Pizza & Co,Rindfleisch;Weizen;Soja und Sojaerzeugnisse;Milch und Milchprodukte (inkl. Laktose),Soja und Sojaerzeugnisse;Rindfleisch;Milch und Milchprodukte (inkl. Laktose);Weizen,main_dish
2212440,Ananasquark,Dessert,Desserts,,,dessert
1781348,"Käsespätzle ""Schwäbische Art"" mit geschmelzten Zwiebeln",Hauptgericht,Mensa,Glutenhaltiges Getreide;Eier und Eierzeugnisse;Milch und Milcherzeugnisse,Milch und Milcherzeugnisse;Glutenhaltiges Getreide;Eier und Eierzeugnisse,mix
2142101,"Eine Riesencurrywurst,",Hauptgericht,Aktionsstand,,,main_dish
15200238,"NEUes Gericht für dich gekocht..., Schnitzel vom Feld (Gemüsebasis) , Champignons in Rotweinsoße , gebratene Drillinge",Hauptgericht,CampusSpezial,"Alkohol;Klimateller;Neu;Schwefeldioxid und Sulfite (Konzentration über 10mg/kg oder 10mg/l);Sellerie und Sellerieerzeugnisse;Senf und Senferzeugnisse;Soja und Sojaerzeugnisse;Vegan;enthält keine laktosehaltigen Lebensmittel;glutenhaltiges Getreide und daraus hergestellte Erzeugnisse (z. B. Weizen, Roggen, Gerste etc.)","Soja und Sojaerzeugnisse;Sellerie und Sellerieerzeugnisse;Senf und Senferzeugnisse;Vegan;Alkohol;enthält keine laktosehaltigen Lebensmittel;Klimateller;glutenhaltiges Getreide und daraus hergestellte Erzeugnisse (z. B. Weizen, Roggen, Gerste etc.)",unmatched
4172373,Petersilienkartoffeln,Beilage,Beilage,,,side_dish
