,meal_id,meal_name,notes_list,meal_category,date_correct,canteen_name,canteen_address,meal_super_category,notes_count,notes_list_90,notes_count_90
2984189,14099566,Pfannkuchen,mit Gorgonzola-Blattspinat;vegetarisch,Essen 4,2023-02-14,Cafeteria HfG,"Schlossstr. 31, 63065 Offenbach, Germany",main_dish,2,vegetarisch,1
3757622,4811689,"Jumbo Fischstäbchen in Knusperpanade, Remouladensauce",Fisch und Fischerzeugnisse;Gerste;mit Süßungsmittel;Weizen;Senf und Senferzeugnisse;Hafer;Eier und Eierzeugnisse;mit Milcheiweiß;Mit Konservierungsmittel;Roggen;Milch und Milcherzeugnisse / enthält Laktose,Essen I,2020-01-10,"Mensa Sommerdeich, Kleve","Sommerdeich 16, 47533 Kleve",main_dish,11,Senf und Senferzeugnisse;Fisch und Fischerzeugnisse;mit Süßungsmittel;mit Milcheiweiß;Eier und Eierzeugnisse;Weizen;Roggen;Hafer;Gerste;Milch und Milcherzeugnisse / enthält Laktose,10
2305681,2387136,"Olympusteller , Tzatziki , Kartoffeltwister , Krautsalat",mit Schwein;Antioxidationsmittel;Ei/-erzeugnisse;Schwefeldioxid/Sulfite;Glutenhaltiges;Geschwefelt;Milch/-erzeugnisse;mit Geflügel,Campus Spezial,2017-01-19,"Hamburg, Mensa Geomatikum","Bundesstraße 55, 20146 Hamburg ",main_dish,8,Antioxidationsmittel;Milch/-erzeugnisse;mit Geflügel;Glutenhaltiges;mit Schwein;Geschwefelt;Ei/-erzeugnisse;Schwefeldioxid/Sulfite,8
1559666,491237,Pizza,ohne Fleisch;Natürlich frisch;mit Knoblauch;Milch und Milcherzeugnisse;Sellerie und Sellerieerzeugnisse,Wahlmenü (Komponente ohne Fleisch),2013-06-27,"Hannover, Contine","Königsworther Platz 1, 30167 Hannover",main_dish,5,ohne Fleisch;Natürlich frisch;Milch und Milcherzeugnisse;Sellerie und Sellerieerzeugnisse;mit Knoblauch,5
1006798,2508776,Ingwer-Möhren mit Nudeln,,Essen,2017-03-28,Mensa HU Oase Adlershof,"Rudower Chaussee 25, Haus 2, 12489 Berlin",main_dish,0,,0
1211061,1543173,Schwarzwurzel- Cremesuppe,Menü ist vegetarisch,Angebote,2015-09-30,"Tharandt, Mensa TellerRandt","Piennerstr. 15, 01737 Tharandt",main_dish,1,Menü ist vegetarisch,1
4252013,14585764,Paniertes Schweineschnitzel mit Bratensauce Pommes frites,Ei;Schwein;Weizen,Hauptgericht,2023-03-23,"Horb, DHBW Stuttgart Campus Horb","Horb, DHBW Stuttgart Campus Horb Florianstraße 15 72160 Horb",main_dish,3,Schwein;Weizen;Ei,3
50158,1429312,Fünf Cevapcici,,Essen,2015-07-23,Mensa FU Lankwitz Malteserstraße,"Malteser Straße 74, 12249 Berlin",main_dish,0,,0
2157776,876438,Spargel mit Limetten-Rucola-Pasta,vegetarisch;mit Konservierungsstoff,Hauptgerichte,2014-06-11,Mensa Stendal,"Osterburger Str. 25, 39567 Stendal",main_dish,2,vegetarisch;mit Konservierungsstoff,2
3166174,11411873,Veganes Blumenkohlcurry mit Kokosmilch,mit Antioxidationsmittel;Soja;vegan,Hauptgerichte,2022-07-01,Mensa OTH Regensburg,"Seybothstraße, 93006 Regensburg, Germany",main_dish,3,vegan;mit Antioxidationsmittel;Soja,3
2988854,1331267,"Vegane Spinat Vollkornnudeln (a) fruchtige Tomatensauce vegan, Lollo Biondasalat, Zitronen Olivendressing, Tagesdessert Apfel",,Vegan,2015-05-11,"Göttingen, Zentralmensa","Platz der Göttinger Sieben 4, Göttingen",main_dish,0,,0
3722321,4765935,Gnocchi-Hackpfanne mit Süßkartoffeln ,mit Weizen;mit Eier;mit Milch/Laktose,Rind,2019-12-19,Cafeteria Eichstätt,"Universitätsallee 2, 85072 Eichstätt",main_dish,3,mit Weizen;mit Milch/Laktose;mit Eier,3
708551,822393,Gebratener Chicoree,,Aktionsstand,2014-04-24,Cafeteria TU Ernst-Reuter-Platz,"Straße des 17. Juni 152, 10623 Berlin",main_dish,0,,0
2147349,4767138,Blumenkohlnuggets | Joghurtdip,Gluten;Weizen;Eier;Milch;OLV,Vegetarisch,2019-12-18,"Aachen, Mensa EUPS","Eupener Str. 70, 52066 Aachen",main_dish,5,Eier;Milch;Gluten;Weizen;OLV,5
3427228,1770402,Gebratenes Lachsfilet auf Zitronensauce,,Hauptessen,2016-02-08,Mensa Bernburg,"Strenzfelder Allee 20, 06406 Bernburg",main_dish,0,,0
3772162,3678563,"Fleischbällchen Köttbullar, Rahmsauce",Weizen;Milch und Milcherzeugnisse / enthält Laktose;mit Milcheiweiß;Gerste;Soja und Sojaerzeugnisse;mit Schweinefleisch;Sellerie und Sellerieerzeugnisse;mit Rindfleisch,Essen I,2018-10-11,"Kunstakademie, Düsseldorf","Eiskellerstraße 1, 40213 Düsseldorf",main_dish,8,mit Schweinefleisch;Soja und Sojaerzeugnisse;Sellerie und Sellerieerzeugnisse;mit Rindfleisch;mit Milcheiweiß;Weizen;Gerste;Milch und Milcherzeugnisse / enthält Laktose,8
471576,2803142,Holzfällersteak mit Schmorzwiebeln und Champignons,Schweinefleisch;Natürlich frisch,Wahlmenü (Komponente mit Fleisch),2017-09-12,Mensa TiHo-Tower,"Bünteweg 2, 30559 Hannover",main_dish,2,Natürlich frisch;Schweinefleisch,2
2324743,1899328,Gemüse- und Schweinrückenstreifen mit gerösteten Spätzle,Sellerie/-erzeugnisse;Glutenhaltiges;Ei/-erzeugnisse;mit Schwein;laktosefrei;Mensa Vital,Beliebt und gerne gegessen,2016-04-29,"Hamburg, Mensa Berliner Tor","Berliner Tor 7, 20099 Hamburg",main_dish,6,laktosefrei;Glutenhaltiges;Sellerie/-erzeugnisse;mit Schwein;Ei/-erzeugnisse;Mensa Vital,6
