,meal_id,meal_name,meal_created_at,meal_updated_at,meal_category,day_id,meal_price_student,meal_price_employee,meal_price_pupil,meal_price_other,canteen_id,date,days_created_at,days_updated_at,date_correct,canteen_name,canteen_address,canteen_created_at,canteen_updated_at,canteen_last_fetched_at,canteen_longitude,canteen_latitude,canteen_city,canteen_state,geometry,meal_super_category,notes_list,notes_count,notes_list_90,notes_count_90
1171543,2195585,Lachssteak mit Sauce Choron,2016-09-26 06:21:51.624899,2016-09-26 06:21:51.624899,Bistro Gourmet Fisch,195070,5.1,6.3,,7.1,115,2016-10-04,2016-09-26 06:21:51.554486,2016-09-26 06:21:51.554486,2016-10-04,"Marburg, Philipps Bistro","Erlenring, 35037 Marburg",2012-08-26 01:58:51.115033,2015-07-04 00:47:03.360537,2023-08-05 14:02:06.876941,8.7765003,50.8072421,Marburg,active,POINT (8.7765003 50.8072421),unmatched,Fisch;Eier;Milch,3,Fisch;Eier;Milch,3
2916168,4140071,Rahmspinat,2019-04-13 06:18:13.970707,2019-04-13 06:18:13.970707,Pasta Buffetpro 100g,420452,0.85,0.95,,,168,2019-04-17,2019-04-13 06:18:13.839457,2019-04-13 06:18:13.839457,2019-04-17,Mensa Neustadtswall,"Neustadtswall 33, 28199 Bremen, Germany",2013-07-08 13:07:41.628728,2015-07-04 00:47:01.643595,2020-03-13 07:14:33.220838,8.793203830718994,53.07283522613672,Bremen,active,POINT (8.793203830718994 53.07283522613672),main_dish,Vegetarisch;mit Farbstoff;Weizen;Milch und Milchprodukte (inkl. Laktose),4,mit Farbstoff;Vegetarisch;Milch und Milchprodukte (inkl. Laktose);Weizen,4
2713114,1095677,Tomatenpaprikasalat,2014-11-23 07:04:11.916901,2014-11-23 07:04:11.916901,Beilage,95252,0.5,0.7,,0.7,153,2014-12-02,2014-11-23 07:04:11.827902,2014-11-23 07:04:11.827902,2014-12-02,Mensa 1 (Mittag),"Katharinenstr. 1, 38106 Braunschweig",2013-06-09 20:38:09.512234,2019-09-23 21:34:27.088453,2021-11-14 07:05:50.443260,10.526061058044434,52.27467662468465,Braunschweig,active,POINT (10.52606105804443 52.27467662468465),side_dish,,0,,0
720480,887401,Gebackenes Seelachsfilet,2014-06-14 06:01:14.228368,2014-06-26 06:00:23.931354,Essen,76493,1.45,2.3,,3.05,30,2014-06-27,2014-06-14 06:01:14.187365,2014-06-14 06:01:14.187365,2014-06-27,Mensa HTW Treskowallee,"Treskowallee 8, 10318 Berlin",2012-08-19 00:21:18.924265,2021-11-13 19:12:49.872331,2022-03-20 07:12:03.656395,13.5264999,52.49222,Berlin,active,POINT (13.5264999 52.49222),main_dish,,0,,0
1791187,4355669,"Vegane Nuggets, Chilisauce, Mandel-Brokkoli, Tomatenreis",2019-07-01 06:00:26.337709,2019-07-01 06:00:26.337709,Menü,446992,5.1,6.3,,7.3,16,2019-07-12,2019-07-01 06:00:26.269064,2019-07-01 06:00:26.269064,2019-07-12,Hannover Hauptmensa Marktstand,"Callinstraße 23, 30167 Hannover",2012-08-18 23:25:24.017750,2015-07-04 00:47:01.169048,2023-05-19 14:01:06.076076,9.714478254318236,52.38658176989183,Hannover,active,POINT (9.714478254318236 52.38658176989183),main_dish,ohne Fleisch;vegan;Natürlich frisch;mit Knoblauch;Farbstoff,5,vegan;ohne Fleisch;Natürlich frisch;mit Knoblauch;Farbstoff,5
4342996,15676625,"Schupfnudel-Gemüsepfanne mit Fleischbällchen(S/R), Kräutersauce, Salat der Saison",2023-06-12 09:30:16.070022,2023-06-12 09:30:16.070022,Tagesmenü,1048332,3.25,,6.9,6.9,1766,2023-06-26,2023-06-12 09:30:16.055802,2023-06-12 09:30:16.055802,2023-06-26,Mensa Morgenstelle,"Auf der Morgenstelle 26, 72076 Tübingen",2023-02-06 22:00:41.317551,2023-02-06 22:05:06.632394,2023-08-05 09:30:10.937077,9.0363605,48.535552,Tübingen,active,POINT (9.036360500000001 48.535552),main_dish,Antioxidationsmittel;Eier;Milch/Laktose;Schwefeldioxid und Sulfite;Weizen,5,Antioxidationsmittel;Schwefeldioxid und Sulfite;Eier;Weizen;Milch/Laktose,5
2963476,1312053,"Hausgemachter Kräuterquark (g) Gurkensalat, Pellkartoffeln, Tagesdessert Mars",2015-04-26 06:00:51.259711,2015-04-26 06:00:51.259711,Vegetarisch,114997,2.35,3.85,,5.15,183,2015-05-06,2015-04-26 06:00:51.249785,2015-04-26 06:00:51.249785,2015-05-06,"Göttingen, Bistro HAWK","Von-Ossietzky-Straße 99, Göttingen",2014-02-16 00:13:22.950090,2015-07-04 00:46:56.239582,2019-01-24 07:11:26.662227,9.969781637191772,51.52183530406683,Göttingen,active,POINT (9.969781637191772 51.52183530406683),main_dish,,0,,0
2386587,2734350,Gurkensalat,2017-07-11 06:04:55.253461,2017-07-11 06:04:55.253461,Beilagen,247065,,,,,134,2017-07-31,2017-07-11 06:04:55.168153,2017-07-11 06:04:55.168153,2017-07-31,Mensa Martinsried,"Großhaderner Straße 6, Planegg-Martinsried ",2012-08-26 02:54:56.894180,2019-11-13 20:35:18.008100,2022-02-24 13:03:28.690130,11.4532863,48.1090332,München,active,POINT (11.4532863 48.1090332),side_dish,,0,,0
3054913,15985292,Mais oder Mischsalat,2023-07-17 08:11:34.352470,2023-07-25 08:13:56.556071,Nebenbeilage,1068842,,,,,187,2023-07-25,2023-07-17 08:11:34.122982,2023-07-17 08:11:34.122982,2023-07-25,"Aachen, Mensa Academica","Pontwall 3, 52062 Aachen, Germany",2014-07-03 08:51:54.948608,2019-02-05 21:14:28.706807,2023-07-25 08:13:57.078286,6.07641034479823,50.7816791,Aachen,active,POINT (6.07641034479823 50.7816791),side_dish,,0,,0
2866722,2194037,Türkische Pizza mit Rinderhack und Mix Salat,2016-09-24 07:10:13.726626,2016-09-24 07:10:13.726626,Cafeteria Pizza & Co,194825,3.0,3.1,,,171,2016-09-30,2016-09-24 07:10:13.452549,2016-09-24 07:10:13.452549,2016-09-30,Mensa Bremerhaven,"An der Karlstadt 8, 27568 Bremerhaven, Germany",2013-07-08 19:03:12.182318,2015-07-04 00:47:01.709228,2020-03-13 07:12:17.232630,8.582746982574461,53.53945941659496,Bremerhaven,active,POINT (8.582746982574461 53.53945941659496),main_dish,Rindfleisch;Weizen;Soja und Sojaerzeugnisse;Milch und Milchprodukte (inkl. Laktose),4,Soja und Sojaerzeugnisse;Rindfleisch;Milch und Milchprodukte (inkl. Laktose);Weizen,4
