meal_id,meal_name,meal_category,notes_list,notes_list_90,meal_super_category
2195585,Lachssteak mit Sauce Choron,Bistro Gourmet Fisch,Fisch;Eier;Milch,Fisch;Eier;Milch,unmatched
4140071,Rahmspinat,Pasta Buffetpro 100g,Vegetarisch;mit Farbstoff;Weizen;Milch und Milchprodukte (inkl. Laktose),mit Farbstoff;Vegetarisch;Milch und Milchprodukte (inkl. Laktose);Weizen,main_dish
1095677,Tomatenpaprikasalat,Beilage,,,side_dish
887401,Gebackenes Seelachsfilet,Essen,,,main_dish
4355669,"Vegane Nuggets, Chilisauce, Mandel-Brokkoli, Tomatenreis",Menü,ohne Fleisch;vegan;Natürlich frisch;mit Knoblauch;Farbstoff,vegan;ohne Fleisch;Natürlich frisch;mit Knoblauch;Farbstoff,main_dish
15676625,"Schupfnudel-Gemüsepfanne mit Fleischbällchen(S/R), Kräutersauce, Salat der Saison",Tagesmenü,Antioxidationsmittel;Eier;Milch/Laktose;Schwefeldioxid und Sulfite;Weizen,Antioxidationsmittel;Schwefeldioxid und Sulfite;Eier;Weizen;Milch/Laktose,main_dish
1312053,"Hausgemachter Kräuterquark (g) Gurkensalat, Pellkartoffeln, Tagesdessert Mars",Vegetarisch,,,main_dish
2734350,Gurkensalat,Beilagen,,,side_dish
15985292,Mais oder Mischsalat,Nebenbeilage,,,side_dish
2194037,Türkische Pizza mit Rinderhack und Mix Salat,Cafeteria Pizza & Co,Rindfleisch;Weizen;Soja und Sojaerzeugnisse;Milch und Milchprodukte (inkl. Laktose),Soja und Sojaerzeugnisse;Rindfleisch;Milch und Milchprodukte (inkl. Laktose);Weizen,main_dish
2212440,Ananasquark,Desserts,,,dessert
1781348,"Käsespätzle ""Schwäbische Art"" mit geschmelzten Zwiebeln",Mensa,Glutenhaltiges Getreide;Eier und Eierzeugnisse;Milch und Milcherzeugnisse,Milch und Milcherzeugnisse;Glutenhaltiges Getreide;Eier und Eierzeugnisse,mix
2142101,"Eine Riesencurrywurst,",Aktionsstand,,,main_dish
15200238,"NEUes Gericht für dich gekocht..., Schnitzel vom Feld (Gemüsebasis) , Champignons in Rotweinsoße , gebratene Drillinge",CampusSpezial,"Alkohol;Klimateller;Neu;Schwefeldioxid und Sulfite (Konzentration über 10mg/kg oder 10mg/l);Sellerie und Sellerieerzeugnisse;Senf und Senferzeugnisse;Soja und Sojaerzeugnisse;Vegan;enthält keine laktosehaltigen Lebensmittel;glutenhaltiges Getreide und daraus hergestellte Erzeugnisse (z. B. Weizen, Roggen, Gerste etc.)","Soja und Sojaerzeugnisse;Sellerie und Sellerieerzeugnisse;Senf und Senferzeugnisse;Vegan;Alkohol;enthält keine laktosehaltigen Lebensmittel;Klimateller;glutenhaltiges Getreide und daraus hergestellte Erzeugnisse (z. B. Weizen, Roggen, Gerste etc.)",unmatched
4172373,Petersilienkartoffeln,Beilage,,,side_dish
3581711,"Früchte-Joghurtbecher To Go 0,2l",Aktionen,grün (Ampel);vegetarisch;Antioxidationsmittel;Weizen;Gerste;Hafer;Mandeln;Haselnuss;Milch und Milchprodukte (inkl. Laktose),Antioxidationsmittel;vegetarisch;Milch und Milchprodukte (inkl. Laktose);Weizen;Mandeln;Hafer;Gerste;Haselnuss;grün (Ampel),main_dish
1529469,Kidneybohnen-Mais-Gemüse,Gemüsebeilagen,,,side_dish
2168439,Rindergulasch nach Art des Hauses,Essen 1,"Glutenhaltiges Getreide
GL1     Weizen
GL2     Roggen
GL3     Gerste
GL4     Hafer
GL5     Dinkel
GL6     Kamut;mit Farbstoff;Rind",Rind;mit Farbstoff,mix
2323043,"Veganer Weihnachtsbraten mit Feigen-Walnussfüllung, dazu Pilzsoße und Schwenkkartoffeln",Angebote,Menü ist vegan,Menü ist vegan,main_dish
4706606,Chili con carne - Mexikanischer Bohneneintopf mit Rindfleisch,Essen,grün (Ampel);mit zum Teil fein zerkleinertem Fleischanteil,grün (Ampel),main_dish
2973846,"mediterranes Nudelgratin mit Kirschtomaten, Zucchinistreifen und schwarzen Oliven",Essen 3,vegetarisch;mit Geschmacksverstärker;geschwärzt;Milch,vegetarisch;mit Geschmacksverstärker;geschwärzt;Milch,main_dish
413418,Nudeln,Beilagen,veganes Gericht,veganes Gericht,side_dish
2169261,Raviolini in Spinat-Sahnesauce,Essen 3,"Eier und Eiererzeugnisse;Milch und Milcherzeugnisse (einschließlich Laktose);Glutenhaltiges Getreide
GL1     Weizen
GL2     Roggen
GL3     Gerste
GL4     Hafer
GL5     Dinkel
GL6     Kamut;vegetarisch",Eier und Eiererzeugnisse;vegetarisch;Milch und Milcherzeugnisse (einschließlich Laktose),main_dish
3781754,Auberginencurry mit Kichererbsen-Reis,Hauptgericht,,,main_dish
4821708,"Putengeschnetzeltes Züricher Art , Fusilli , Rosenkohl",Beliebt und gerne gegessen,Milch/-erzeugnisse;mit Geflügel;Glutenhaltiges,Milch/-erzeugnisse;mit Geflügel;Glutenhaltiges,main_dish
8551388,Röstkartoffeln,Beilagen,vegan,vegan,side_dish
1999034,Zwei Gemüsefrikadellen,Tagesangebot,,,mix
1863775,Gebratene Asianudeln mit Hähnchen,Aktions-Theke,mit Geflügel,mit Geflügel,mix
