meal_id,meal_name,meal_category,notes_list,notes_list_90,is_vegetarian,is_vegan,is_omnivorous,dietary_type
14099566,Pfannkuchen,Essen 4,mit Gorgonzola-Blattspinat;vegetarisch,vegetarisch,True,False,False,vegetarian
4811689,"Jumbo Fischstäbchen in Knusperpanade, Remouladensauce",Essen I,Fisch und Fischerzeugnisse;Gerste;mit Süßungsmittel;Weizen;Senf und Senferzeugnisse;Hafer;Eier und Eierzeugnisse;mit Milcheiweiß;Mit Konservierungsmittel;Roggen;Milch und Milcherzeugnisse / enthält Laktose,Senf und Senferzeugnisse;Fisch und Fischerzeugnisse;mit Süßungsmittel;mit Milcheiweiß;Eier und Eierzeugnisse;Weizen;Roggen;Hafer;Gerste;Milch und Milcherzeugnisse / enthält Laktose,False,False,True,omnivorous
2387136,"Olympusteller , Tzatziki , Kartoffeltwister , Krautsalat",Campus Spezial,mit Schwein;Antioxidationsmittel;Ei/-erzeugnisse;Schwefeldioxid/Sulfite;Glutenhaltiges;Geschwefelt;Milch/-erzeugnisse;mit Geflügel,Antioxidationsmittel;Milch/-erzeugnisse;mit Geflügel;Glutenhaltiges;mit Schwein;Geschwefelt;Ei/-erzeugnisse;Schwefeldioxid/Sulfite,False,False,True,omnivorous
491237,Pizza,Wahlmenü (Komponente ohne Fleisch),ohne Fleisch;Natürlich frisch;mit Knoblauch;Milch und Milcherzeugnisse;Sellerie und Sellerieerzeugnisse,ohne Fleisch;Natürlich frisch;Milch und Milcherzeugnisse;Sellerie und Sellerieerzeugnisse;mit Knoblauch,True,False,False,vegetarian
2508776,Ingwer-Möhren mit Nudeln,Essen,,,False,False,True,omnivorous
1543173,Schwarzwurzel- Cremesuppe,Angebote,Menü ist vegetarisch,Menü ist vegetarisch,True,False,False,vegetarian
14585764,Paniertes Schweineschnitzel mit Bratensauce Pommes frites,Hauptgericht,Ei;Schwein;Weizen,Schwein;Weizen;Ei,False,False,True,omnivorous
1429312,Fünf Cevapcici,Essen,,,False,False,True,omnivorous
876438,Spargel mit Limetten-Rucola-Pasta,Hauptgerichte,vegetarisch;mit Konservierungsstoff,vegetarisch;mit Konservierungsstoff,True,False,False,vegetarian
11411873,Veganes Blumenkohlcurry mit Kokosmilch,Hauptgerichte,mit Antioxidationsmittel;Soja;vegan,vegan;mit Antioxidationsmittel;Soja,True,True,False,vegan
1331267,"Vegane Spinat Vollkornnudeln (a) fruchtige Tomatensauce vegan, Lollo Biondasalat, Zitronen Olivendressing, Tagesdessert Apfel",Vegan,,,False,False,True,omnivorous
4765935,Gnocchi-Hackpfanne mit Süßkartoffeln ,Rind,mit Weizen;mit Eier;mit Milch/Laktose,mit Weizen;mit Milch/Laktose;mit Eier,False,False,True,omnivorous
822393,Gebratener Chicoree,Aktionsstand,,,False,False,True,omnivorous
4767138,Blumenkohlnuggets | Joghurtdip,Vegetarisch,Gluten;Weizen;Eier;Milch;OLV,Eier;Milch;Gluten;Weizen;OLV,True,False,False,vegetarian
1770402,Gebratenes Lachsfilet auf Zitronensauce,Hauptessen,,,False,False,True,omnivorous
3678563,"Fleischbällchen Köttbullar, Rahmsauce",Essen I,Weizen;Milch und Milcherzeugnisse / enthält Laktose;mit Milcheiweiß;Gerste;Soja und Sojaerzeugnisse;mit Schweinefleisch;Sellerie und Sellerieerzeugnisse;mit Rindfleisch,mit Schweinefleisch;Soja und Sojaerzeugnisse;Sellerie und Sellerieerzeugnisse;mit Rindfleisch;mit Milcheiweiß;Weizen;Gerste;Milch und Milcherzeugnisse / enthält Laktose,False,False,True,omnivorous
2803142,Holzfällersteak mit Schmorzwiebeln und Champignons,Wahlmenü (Komponente mit Fleisch),Schweinefleisch;Natürlich frisch,Natürlich frisch;Schweinefleisch,False,False,True,omnivorous
1899328,Gemüse- und Schweinrückenstreifen mit gerösteten Spätzle,Beliebt und gerne gegessen,Sellerie/-erzeugnisse;Glutenhaltiges;Ei/-erzeugnisse;mit Schwein;laktosefrei;Mensa Vital,laktosefrei;Glutenhaltiges;Sellerie/-erzeugnisse;mit Schwein;Ei/-erzeugnisse;Mensa Vital,False,False,True,omnivorous
2938823,Hausgemachte Pasta mit Tomatenpesto,Pasta,Menü ist vegan;Menü enthält Knoblauch,Menü enthält Knoblauch;Menü ist vegan,True,True,False,vegan
2019729,Tomatensauce,Pasta Buffetpro 100g,Vegan;mit Farbstoff;Weizen,mit Farbstoff;Vegan;Weizen,True,True,False,vegan
873393,Lammhacksteak auf Kichererbsen-Tomatenragout,Essen C,Lamm,Lamm,False,False,True,omnivorous
571656,"Spaghetti mit getrockneten Tomaten(3), frischer Blattspinat, Pinienkernen und Grana Padano(2), dazu Tessiner Mischsalat",Alternativ-Angebot,ovo-lacto-vegetabil,ovo-lacto-vegetabil,True,False,False,vegetarian
2533461,"Pizza mit Salami oder Pizza Quattro formaggi mit Gorgonzola, Gouda, Hirtenkäse und Mozzarella (vegetarisch)",Angebote,Menü enthält Schweinefleisch,Menü enthält Schweinefleisch,False,False,True,omnivorous
5014649,Gemüse Balls mit Sojaprotein,Hauptkomponente,Kräuter-Sahnesoße;glutenhaltiges Getreide;Eier;Soja;Sellerie;Milch/ Milchzucker,Milch/ Milchzucker;Soja;Sellerie;glutenhaltiges Getreide;Eier,False,False,True,omnivorous
10047472,Nudeln mit mediterraner Tomatensauce und geröstetem Buchweizen,Angebot 1,Vegan,Vegan,True,True,False,vegan
481585,Acht-Gemüsepfanne,WOK 1 Aktion,Fleischloses Gericht;Veganes Gericht;Farbstoff;Konservierungsstoff;Antioxydationsmittel;geschwärzt;Geschmacksverstärker,Farbstoff;Konservierungsstoff;Geschmacksverstärker;Fleischloses Gericht;Antioxydationsmittel;geschwärzt;Veganes Gericht,True,True,False,vegan
2660337,Paella mit Hühnerfleisch und Meeresfrüchten,Aktionsstand,,,False,False,True,omnivorous
12466900,Burgunderbraten mit Semmelknödel,Hauptgerichte,enthält Sulfite;Weizen;Eier;Milch und Milchprodukte;Sellerie;Rindfleisch;Alkohol,Rindfleisch;Alkohol;Sellerie;Eier;Milch und Milchprodukte;enthält Sulfite;Weizen,False,False,True,omnivorous
2268807,Hacksteak,Rind Schwein,"Gericht enthält Gluten, Eier, Soja.",,False,False,True,omnivorous
2333790,Lasagne Bologneser Art,Auflauf,Menü enthält Schweinefleisch,Menü enthält Schweinefleisch,False,False,True,omnivorous
15332691,"ofenfrisch...bis 16:00 Uhr..,, Flammkuchen mit Speck und Zwiebeln ""Elsässer Style""",CampusKlassiker,"Lieblingsessen;Milch und Milcherzeugnisse (einschl. Laktose);Schwein;glutenhaltiges Getreide und daraus hergestellte Erzeugnisse (z. B. Weizen, Roggen, Gerste etc.);mit Antioxidationsmittel;mit Konservierungsstoff;mit Phosphat","Schwein;mit Phosphat;mit Konservierungsstoff;mit Antioxidationsmittel;glutenhaltiges Getreide und daraus hergestellte Erzeugnisse (z. B. Weizen, Roggen, Gerste etc.);Milch und Milcherzeugnisse (einschl. Laktose)",False,False,True,omnivorous
