Column1,meal_id,meal_name,has_veg_comp,has_veg_comp2,notes_list,meal_category,date_correct,canteen_name,canteen_address,meal_super_category,notes_count,notes_list_90,notes_count_90
2984189,14099566,Pfannkuchen,False,type,mit Gorgonzola-Blattspinat;vegetarisch,Essen 4,14.02.2023,Cafeteria HfG,"Schlossstr. 31, 63065 Offenbach, Germany",main_dish,2,vegetarisch,1
3757622,4811689,"Jumbo Fischstäbchen in Knusperpanade, Remouladensauce",False,none,Fisch und Fischerzeugnisse;Gerste;mit Süßungsmittel;Weizen;Senf und Senferzeugnisse;Hafer;Eier und Eierzeugnisse;mit Milcheiweiß;Mit Konservierungsmittel;Roggen;Milch und Milcherzeugnisse / enthält Laktose,Essen I,10.01.2020,"Mensa Sommerdeich, Kleve","Sommerdeich 16, 47533 Kleve",main_dish,11,Senf und Senferzeugnisse;Fisch und Fischerzeugnisse;mit Süßungsmittel;mit Milcheiweiß;Eier und Eierzeugnisse;Weizen;Roggen;Hafer;Gerste;Milch und Milcherzeugnisse / enthält Laktose,10
2305681,2387136,"Olympusteller , Tzatziki , Kartoffeltwister , Krautsalat",True,raw,mit Schwein;Antioxidationsmittel;Ei/-erzeugnisse;Schwefeldioxid/Sulfite;Glutenhaltiges;Geschwefelt;Milch/-erzeugnisse;mit Geflügel,Campus Spezial,19.01.2017,"Hamburg, Mensa Geomatikum","Bundesstraße 55, 20146 Hamburg ",main_dish,8,Antioxidationsmittel;Milch/-erzeugnisse;mit Geflügel;Glutenhaltiges;mit Schwein;Geschwefelt;Ei/-erzeugnisse;Schwefeldioxid/Sulfite,8
1559666,491237,Pizza,True,unknown,ohne Fleisch;Natürlich frisch;mit Knoblauch;Milch und Milcherzeugnisse;Sellerie und Sellerieerzeugnisse,Wahlmenü (Komponente ohne Fleisch),27.06.2013,"Hannover, Contine","Königsworther Platz 1, 30167 Hannover",main_dish,5,ohne Fleisch;Natürlich frisch;Milch und Milcherzeugnisse;Sellerie und Sellerieerzeugnisse;mit Knoblauch,5
1006798,2508776,Ingwer-Möhren mit Nudeln,True,gently_processed,,Essen,28.03.2017,Mensa HU Oase Adlershof,"Rudower Chaussee 25, Haus 2, 12489 Berlin",main_dish,0,,0
1211061,1543173,Schwarzwurzel- Cremesuppe,True,heavily_processed,Menü ist vegetarisch,Angebote,30.09.2015,"Tharandt, Mensa TellerRandt","Piennerstr. 15, 01737 Tharandt",main_dish,1,Menü ist vegetarisch,1
4252013,14585764,Paniertes Schweineschnitzel mit Bratensauce Pommes frites,False,none,Ei;Schwein;Weizen,Hauptgericht,23.03.2023,"Horb, DHBW Stuttgart Campus Horb","Horb, DHBW Stuttgart Campus Horb Florianstraße 15 72160 Horb",main_dish,3,Schwein;Weizen;Ei,3
50158,1429312,Fünf Cevapcici,False,none,,Essen,23.07.2015,Mensa FU Lankwitz Malteserstraße,"Malteser Straße 74, 12249 Berlin",main_dish,0,,0
2157776,876438,Spargel mit Limetten-Rucola-Pasta,True,gently_processed,vegetarisch;mit Konservierungsstoff,Hauptgerichte,11.06.2014,Mensa Stendal,"Osterburger Str. 25, 39567 Stendal",main_dish,2,vegetarisch;mit Konservierungsstoff,2
3166174,11411873,Veganes Blumenkohlcurry mit Kokosmilch,True,heavily_processed,mit Antioxidationsmittel;Soja;vegan,Hauptgerichte,01.07.2022,Mensa OTH Regensburg,"Seybothstraße, 93006 Regensburg, Germany",main_dish,3,vegan;mit Antioxidationsmittel;Soja,3
2988854,1331267,"Vegane Spinat Vollkornnudeln (a) fruchtige Tomatensauce vegan, Lollo Biondasalat, Zitronen Olivendressing, Tagesdessert Apfel",True,raw,,Vegan,11.05.2015,"Göttingen, Zentralmensa","Platz der Göttinger Sieben 4, Göttingen",main_dish,0,,0
