meal_id,meal_name,notes_list,meal_category,date_correct,canteen_name,canteen_address,meal_super_category,notes_count,notes_list_90,notes_count_90
1284770,Rahmspinat,Vegetarisch;mit Farbstoff;enthält glutenhaltiges Getreide;Milch und Milchprodukte (inkl. Laktose),Pasta Buffetpro 100g,2015-04-15,Mensa Neustadtswall,"Neustadtswall 33, 28199 Bremen, Germany",main_dish,4,mit Farbstoff;Vegetarisch;enthält glutenhaltiges Getreide;Milch und Milchprodukte (inkl. Laktose),4
3975650,"Pasta Pizzaiola mit Mozzarellakäse in Tomatensoße , Hartkäse , Strozzapreti",Glutenhaltiges;vegetarisch;Sellerie/-erzeugnisse;Milch/-erzeugnisse,Pasta-Bar pro 100g,2019-02-21,"Hamburg, Mensa Studierendenhaus","Von-Melle-Park 2, 20146 Hamburg ",main_dish,4,vegetarisch;Milch/-erzeugnisse;Glutenhaltiges;Sellerie/-erzeugnisse,4
2444690,Tandoori Hähnchenbrust mit Curry-Joghurt-Dip,,Aktionsstand,2017-02-20,Mensa HU Oase Adlershof,"Rudower Chaussee 25, Haus 2, 12489 Berlin",main_dish,0,,0
11749286,Florentiner Polentaschnitte | Tomatenrahmsauce,Gluten;Weizen;Milch;OLV,Vegetarisch,2022-07-26,"Aachen, Mensa Ahorn","Ahornstr. 55, 52074 Aachen",main_dish,4,Milch;Gluten;Weizen;OLV,4
6366090,Ungarische Hackfleischpfanne mit Pommes Chips,mit Konservierungsstoff;enthält Gluten;enthält Weizen;Schweinefleisch;Knoblauch,Mittag Ausgabe B,2021-02-11,Mensa Ehrenberg,"Max-Planck-Ring + 1, 98693 + Ilmenau, Deutschland",main_dish,5,Schweinefleisch;mit Konservierungsstoff;Knoblauch;enthält Weizen,4
4477848,"Reis-Knuspersticks mit veganer Sauce Aioli, dazu Langkornreis oder Wedges und bunter Saisonsalat",Knoblauch;Vegetarisch,Angebot 2,2019-08-29,Mensa Am Neuen Palais,"Am Neuen Palais 10, Haus 12, 14469 Potsdam",main_dish,2,Vegetarisch;Knoblauch,2
3746805,"Entrecotè, Rindersteak",Sellerie;Rind,Grill,2018-10-29,"Leipzig, Mensa am Park","Universitätsstraße 5, 04109 Leipzig",main_dish,2,Rind;Sellerie,2
7878120,"Hähnchenschnitzel mit Champignon-Sauce, Reis und Romanesco",Weizen;Geflügel;Antioxidationsmittel,Classic 2,2021-08-11,Mensa 1 (Mittag),"Katharinenstr. 1, 38106 Braunschweig",main_dish,3,Antioxidationsmittel;Geflügel;Weizen,3
1598067,Spirelli,,Aktionsstand,2015-11-09,Cafeteria FU Wirtschaftswissenschaften,"Garystr. 21, 14195 Berlin",main_dish,0,,0
1959589,Hackfleischsoße Spinaci,,Pasta-Teller,2016-06-16,"Leipzig, Mensa Academica","Karl-Liebknecht-Straße, 145 04277 Leipzig",main_dish,0,,0
3871185,"Calamares mit Cocktailsauce, Blattsalat und Baguette",mit Farbstoff;mit Antioxidationsmittel;mit Süssungsmittel Saccharin;enthält Sulfite;Weizen;Eier;Milch und Milchprodukte;Senf;Weichtiere;Fisch,Hauptgerichte,2019-01-04,Mensa OTH Regensburg,"Seybothstraße, 93006 Regensburg, Germany",main_dish,10,Fisch;mit Antioxidationsmittel;mit Farbstoff;Senf;Eier;Milch und Milchprodukte;enthält Sulfite;mit Süssungsmittel Saccharin;Weizen,9
1562719,Hamburger,,Essen 4,2015-10-13,Cafeteria LEVEL,"Ruth-Moufang-Straße 2, 60438 Frankfurt am Main, Germany",main_dish,0,,0
13279771,"Chili con Carne-Eintopf (1,3)  ",mit Rind;1) mit Farbstoff;3) mit Antioxidationsmittel,Speisenangebot,2022-12-08,Mensa Bispinghof,"Bispinghof 9, 48143 Münster",main_dish,3,mit Rind;1) mit Farbstoff,2
291462, Sojagyros mit Tsatsiki und Couscous,Menü enthält kein Fleisch,Angebote,2012-12-05,"Dresden, Mensa Matrix","Reichenbachstr. 1, 01069 Dresden, Deutschland",main_dish,1,Menü enthält kein Fleisch,1
3647155,Gekochte Eier mit Remouladensoße dazu Bratkartoffeln,Eier;mit Konservierungsstoff;mit Süßungsmittel;Senf,Mittagsangebot,2018-09-24,"Chemnitz, Reichenhainer Straße, Cafeteria","Reichenhainer Straße 55, 09126 Chemnitz",main_dish,4,mit Konservierungsstoff;mit Süßungsmittel;Senf;Eier,4
3038824,"Putengeschnetzeltes Züricher Art in Champignonrahm , Fusilli",mit Geflügel;Milch/-erzeugnisse;Schwefeldioxid/Sulfite;Glutenhaltiges,Beliebt und gerne gegessen,2018-01-23,"Hamburg, Mensa Stellingen","Vogt-Kölln-Straße 30, 22527 Hamburg ",main_dish,4,Milch/-erzeugnisse;mit Geflügel;Glutenhaltiges;Schwefeldioxid/Sulfite,4
3046910,Balkankäse in Blätterteig mit Spinatsauce,Eier und Eiererzeugnisse;Milch und Milcherzeugnisse (einschließlich Laktose);Weizen;Gerste;mit Farbstoff;vegetarisch,Essen V,2018-02-02,Mensa Clausthal,"Leibnizstr. 3, 38678 Clausthal-Zellerfeld, Deutschland",main_dish,6,Eier und Eiererzeugnisse;vegetarisch;mit Farbstoff;Milch und Milcherzeugnisse (einschließlich Laktose);Weizen;Gerste,6
