Column1,meal_id,meal_name,protein_source,notes_list,meal_category,date_correct,canteen_name,canteen_address,meal_super_category,notes_count,notes_list_90,notes_count_90
1042576,4209371,Geschmorte Zucchini mit Schweinehackfleisch und Mozzarella an Tomatenragout,meat,grün (Ampel);Schweinefleisch bzw. mit Gelatine vom Schwein;mit zum Teil fein zerkleinertem Fleischanteil;Weizen;Eier;Soja;Milch und Milchprodukte (inkl. Laktose);Hefe,Essen,27.05.2019,Mensa HfM Charlottenstraße,"Charlottenstraße 55, 10117 Berlin",main_dish,8,Soja;Eier;Milch und Milchprodukte (inkl. Laktose);Weizen;Hefe;grün (Ampel),6
2350104,2556929,Bouillabaisse mit Kabeljaufilet und frischem Gemüse,fish,Klima Teller;laktosefrei;mit Alkohol;Schwefeldioxid/Sulfite;Fisch/-erzeugnisse;mit Fisch,Campus Spezial,21.04.2017,"Hamburg, Mensa Finkenau","Finkenau 35, 22081 Hamburg",main_dish,6,mit Fisch;mit Alkohol;laktosefrei;Fisch/-erzeugnisse;Klima Teller;Schwefeldioxid/Sulfite,6
3963405,3994803,Pilz-Stroganoff mit Gemüse-Pilaw,,Sellerie;Senf;Soja;Weizen;mit Antioxidationsmitteln;mit Süßungsmitteln,Hauptgericht,01.03.2019,"Stuttgart Vaihingen, Mensa 2","Stuttgart Vaihingen, Mensa 2 Pfaffenwaldring 45 70569 Stuttgart",main_dish,6,mit Süßungsmitteln;Soja;Sellerie;Senf;mit Antioxidationsmitteln;Weizen,6
2350204,2992945,Hausgemachte Gemüselasagne,none,Glutenhaltiges;vegetarisch;Soja/-erzeugnisse;Milch/-erzeugnisse;Sellerie/-erzeugnisse,Vegetarisch,20.12.2017,"Hamburg, Mensa Finkenau","Finkenau 35, 22081 Hamburg",main_dish,5,vegetarisch;Milch/-erzeugnisse;Soja/-erzeugnisse;Glutenhaltiges;Sellerie/-erzeugnisse,5
3658700,3206737,"Paprikacremesuppe, Gnocchipfanne mit buntem Gemüse, Paprikasauce, gem. Blattsalat",none,Vegetarisch,Vegetarisch,18.04.2018,"Mannheim, Cafeteria Musikhochschule","Mannheim, Cafeteria Musikhochschule N7 17 68161 Mannheim",main_dish,1,Vegetarisch,1
1493991,706120,Pfannenfrische Bratkartoffeln,none,,Aktionsstand,23.01.2014,Mensa HU Nord,"Hannoversche Straße 7, 10115 Berlin",main_dish,0,,0
2796711,7141029,Panna Cotta mit Kandierten Cashewkernen und Sauerkirschen,nuts,Kaschunüsse;Vegetarisch;Milch (Laktose),Essen 5,21.04.2021,Mensa Campus,"Scharnhorststrasse 1, 21335 Lüneburg",main_dish,3,Vegetarisch;Milch (Laktose),2
1236927,1023720,Grützwurst,meat,,Hauptkomponenten,06.12.2014,"Leipzig, Mensa Am Elsterbecken","Marschnerstraße 29c, 04109 Leipzig",main_dish,0,,0
2733481,3888259,"Rindergulasch mit Pilzen , Fusilli",meat,Milch/-erzeugnisse;Glutenhaltiges;mit Rind,Beliebt und gerne gegessen,07.01.2019,"Hamburg, Mensa HCU","Überseeallee 16, 20457 Hamburg",main_dish,3,Milch/-erzeugnisse;Glutenhaltiges;mit Rind,3
3038908,3585940,Pizza Truthahnsalami,meat,Farbstoff;Konservierungsstoff;Antioxidationsmittel;Gluten;Weizen;Gerste;Sojabohnen;Milch,Pizza Classics,29.08.2018,"Aachen, Mensa Academica","Pontwall 3, 52062 Aachen, Germany",main_dish,8,Farbstoff;Konservierungsstoff;Antioxidationsmittel;Milch;Gluten;Weizen;Gerste;Sojabohnen,8
