meal_id,meal_name,notes_list,meal_category,date_correct,canteen_name,canteen_address,meal_super_category,notes_count,notes_list_90,notes_count_90
4327412,Ein gebackener Selleriebratling an Kräutersauce,gelb (Ampel);vegan;Antioxidationsmittel;Weizen;Sellerie;Soja;Hefe,Essen,2019-07-11,Mensa HfM Charlottenstraße,"Charlottenstraße 55, 10117 Berlin",main_dish,7,vegan;Antioxidationsmittel;Soja;Sellerie;Weizen;Hefe;gelb (Ampel),7
878401,Tagliatelle mit Tomaten-Zucchini-Sauce,veganes Gericht;veganes Gericht (kann produktionsbedingt Spuren von tierischen Produkten/Erzeugnissen enthalten),Tagesgericht 1,2014-06-20,Mensa Arcisstraße,"Arcisstr. 17, München",main_dish,2,veganes Gericht;veganes Gericht (kann produktionsbedingt Spuren von tierischen Produkten/Erzeugnissen enthalten),2
3196369,Pulled Pork im Black-Burgerbrötchen mit Cole Slaw Salat & Twister,,Zusatzangebot,2018-04-18,Uni Bremen NW1,"Otto-Hahn-Allee 1, 28359, Bremen, Germany ",main_dish,0,,0
929113,Gebackenes Seelachsfilet (MSC) mit Sauce Remoulade,mit Fleisch;mit Farbstoff;mit Süßungsmitteln;mit einer Zuckerart und Süßungsmitteln,Tagesgericht 4,2014-08-08,Mensa Arcisstraße,"Arcisstr. 17, München",main_dish,4,mit Süßungsmitteln;mit Farbstoff;mit Fleisch;mit einer Zuckerart und Süßungsmitteln,4
1930040,Putensteak mit Basilikum-Tomatensoße,"Gericht enthält Milch/Laktose, Sellerie, Gluten.",Geflügel,2016-05-17,Erlangen Südmensa,"Erwin-Rommel-Straße 60, 91058 Erlangen",main_dish,1,,0
797871,Badische Eierknöpfle mit Blattspinat und Champignons,,Aktionsstand,2014-04-09,Mensa HU Nord,"Hannoversche Straße 7, 10115 Berlin",main_dish,0,,0
1205246,Geflügelschnitzel mit Zwiebelsoße,Geflügel,Classic 2,2015-02-26,Mensa 1 (Abend),"Katharinenstr. 1, 38106 Braunschweig",main_dish,1,Geflügel,1
1023984,Champignon im Backteig,,Hauptkomponenten,2014-12-06,"Leipzig, Mensa Am Elsterbecken","Marschnerstraße 29c, 04109 Leipzig",main_dish,0,,0
5001846,"Vegane Paella , Aioli Dip",Sellerie/-erzeugnisse;Senf/-erzeugnisse;enthält keine laktosehaltigen Lebensmittel;Antioxidationsmittel;Vegan;Klima Teller;Farbstoffe,Gut und günstig,2020-03-13,"Hamburg, Mensa HCU","Überseeallee 16, 20457 Hamburg",main_dish,7,Antioxidationsmittel;Farbstoffe;Senf/-erzeugnisse;Sellerie/-erzeugnisse;Klima Teller;Vegan;enthält keine laktosehaltigen Lebensmittel,7
4276799,Pizza Geflügelsalami,Farbstoff;Konservierungsstoff;Antioxidationsmittel;Gluten;Weizen;Gerste;Sojabohnen;Milch,Pizza Classics,2019-06-13,"Aachen, Mensa Academica","Pontwall 3, 52062 Aachen, Germany",main_dish,8,Farbstoff;Konservierungsstoff;Antioxidationsmittel;Milch;Gluten;Weizen;Gerste;Sojabohnen,8
890964,Hähnchenbrust Hawaii mit Curry Früchtesoße,Ei/-erzeugnisse;Sellerie/-erzeugnisse;Sesam/-erzeugnisse;Konservierungsstoffe;Milch/-erzeugnisse;Soja/-erzeugnisse;Glutenhaltiges;Senf/-erzeugnisse;Farbstoffe;mit Geflügel;Erdnuss/-erzeugnisse,Beliebt und gerne gegessen,2014-06-23,"Hamburg, Mensa Bergedorf","Lohbrügger Kirchstraße 65, 21033 Hamburg",main_dish,11,Milch/-erzeugnisse;Soja/-erzeugnisse;Farbstoffe;Senf/-erzeugnisse;mit Geflügel;Glutenhaltiges;Sellerie/-erzeugnisse;Konservierungsstoffe;Ei/-erzeugnisse;Sesam/-erzeugnisse,10
2023542,"Pasta , Pomodoro Soße",laktosefrei;Vegan;Glutenhaltiges,Campus Spezial,2016-06-24,"Hamburg, Cafe am Mittelweg","Mittelweg 177, 20148 Hamburg",main_dish,3,laktosefrei;Glutenhaltiges;Vegan,3
4091761,Schweinerücken mit Gemüsestreifen,"und gerösteten Spätzle (A, C);MensaVital",Essen 4,2019-03-25,Mensa essWERK,"Kleiststraße 7,  60318 Frankfurt am Main, Germany",main_dish,2,MensaVital,1
2750300,Hackfleisch-Lauchsuppe,Menü enthält Schweinefleisch;Menü enthält Alkohol,Suppenstation,2017-07-21,"Dresden, Mensa Matrix","Reichenbachstr. 1, 01069 Dresden, Deutschland",soup,2,Menü enthält Schweinefleisch;Menü enthält Alkohol,2
2650304,Tortelloni Arrabiata,,Essen,2017-06-08,Mensa HTW Wilhelminenhof,"Wilhelminenhofstraße 75 A, Gebäude G, 12459 Berlin",main_dish,0,,0
303025,Rinderbraten mit Prinzessbohnen und Bäckerinkartoffeln,Sellerie/-erzeugnisse;Milch/-erzeugnisse;Glutenhaltiges;laktosefrei;mit Rind,Campus Spezial,2012-12-10,"Hamburg, Mensa Botanischer Garten","Ohnhorstraße 18, 22609 Hamburg",main_dish,5,laktosefrei;Milch/-erzeugnisse;Glutenhaltiges;Sellerie/-erzeugnisse;mit Rind,5
5144593,"Pikantes Spinat-Gemüsecurryragout , Joghurt Koriander Dip",Antioxidationsmittel;Farbstoffe;vegetarisch;Konservierungsstoffe;Milch/-erzeugnisse;Süßungsmittel;Senf/-erzeugnisse;Klima Teller;Ei/-erzeugnisse;Sellerie/-erzeugnisse,Gut und günstig,2020-09-14,"Hamburg, Mensa Harburg   ","Denickestraße 22,  21073 Hamburg",main_dish,10,Antioxidationsmittel;Süßungsmittel;vegetarisch;Milch/-erzeugnisse;Farbstoffe;Senf/-erzeugnisse;Sellerie/-erzeugnisse;Konservierungsstoffe;Klima Teller;Ei/-erzeugnisse,10
