meal_id,meal_name,true_dietary_type,meal_category,notes_list,notes_list_90,is_vegetarian,is_vegan,is_omnivorous,dietary_type
14099566,Pfannkuchen,vegetarisch,Essen 4,mit Gorgonzola-Blattspinat;vegetarisch,vegetarisch,WAHR,FALSCH,FALSCH,vegetarian
4811689,"Jumbo Fischstäbchen in Knusperpanade, Remouladensauce",omnivor,Essen I,Fisch und Fischerzeugnisse;Gerste;mit Süßungsmittel;Weizen;Senf und Senferzeugnisse;Hafer;Eier und Eierzeugnisse;mit Milcheiweiß;Mit Konservierungsmittel;Roggen;Milch und Milcherzeugnisse / enthält Laktose,Senf und Senferzeugnisse;Fisch und Fischerzeugnisse;mit Süßungsmittel;mit Milcheiweiß;Eier und Eierzeugnisse;Weizen;Roggen;Hafer;Gerste;Milch und Milcherzeugnisse / enthält Laktose,FALSCH,FALSCH,WAHR,omnivorous
2387136,"Olympusteller , Tzatziki , Kartoffeltwister , Krautsalat",omnivor,Campus Spezial,mit Schwein;Antioxidationsmittel;Ei/-erzeugnisse;Schwefeldioxid/Sulfite;Glutenhaltiges;Geschwefelt;Milch/-erzeugnisse;mit Geflügel,Antioxidationsmittel;Milch/-erzeugnisse;mit Geflügel;Glutenhaltiges;mit Schwein;Geschwefelt;Ei/-erzeugnisse;Schwefeldioxid/Sulfite,FALSCH,FALSCH,WAHR,omnivorous
491237,Pizza,vegetarisch,Wahlmenü (Komponente ohne Fleisch),ohne Fleisch;Natürlich frisch;mit Knoblauch;Milch und Milcherzeugnisse;Sellerie und Sellerieerzeugnisse,ohne Fleisch;Natürlich frisch;Milch und Milcherzeugnisse;Sellerie und Sellerieerzeugnisse;mit Knoblauch,WAHR,FALSCH,FALSCH,vegetarian
2508776,Ingwer-Möhren mit Nudeln,vegetarisch,Essen,,,FALSCH,FALSCH,WAHR,omnivorous
1543173,Schwarzwurzel- Cremesuppe,vegetarisch,Angebote,Menü ist vegetarisch,Menü ist vegetarisch,WAHR,FALSCH,FALSCH,vegetarian
14585764,Paniertes Schweineschnitzel mit Bratensauce Pommes frites,omnivor,Hauptgericht,Ei;Schwein;Weizen,Schwein;Weizen;Ei,FALSCH,FALSCH,WAHR,omnivorous
1429312,Fünf Cevapcici,omnivor,Essen,,,FALSCH,FALSCH,WAHR,omnivorous
876438,Spargel mit Limetten-Rucola-Pasta,vegetarisch,Hauptgerichte,vegetarisch;mit Konservierungsstoff,vegetarisch;mit Konservierungsstoff,WAHR,FALSCH,FALSCH,vegetarian
11411873,Veganes Blumenkohlcurry mit Kokosmilch,vegetarisch,Hauptgerichte,mit Antioxidationsmittel;Soja;vegan,vegan;mit Antioxidationsmittel;Soja,WAHR,WAHR,FALSCH,vegan
1331267,"Vegane Spinat Vollkornnudeln (a) fruchtige Tomatensauce vegan, Lollo Biondasalat, Zitronen Olivendressing, Tagesdessert Apfel",vegetarisch,Vegan,,,FALSCH,FALSCH,WAHR,omnivorous
4765935,Gnocchi-Hackpfanne mit Süßkartoffeln ,vegetarisch,Rind,mit Weizen;mit Eier;mit Milch/Laktose,mit Weizen;mit Milch/Laktose;mit Eier,FALSCH,FALSCH,WAHR,omnivorous
822393,Gebratener Chicoree,vegetarisch,Aktionsstand,,,FALSCH,FALSCH,WAHR,omnivorous
4767138,Blumenkohlnuggets | Joghurtdip,vegetarisch,Vegetarisch,Gluten;Weizen;Eier;Milch;OLV,Eier;Milch;Gluten;Weizen;OLV,WAHR,FALSCH,FALSCH,vegetarian
1770402,Gebratenes Lachsfilet auf Zitronensauce,omnivor,Hauptessen,,,FALSCH,FALSCH,WAHR,omnivorous
